2026-05-26T08:34:41.192453 | llama-3.3 | Q1_OG_1 | 'choices'
2026-05-26T08:34:41.193128 | llama-3.3 | Q1_OG_2 | 'choices'
2026-05-26T08:34:41.193561 | llama-3.3 | Q1_OG_3 | 'choices'
2026-05-26T08:34:41.194779 | llama-3.3 | Q1_OG_4 | 'choices'
2026-05-26T08:34:41.195917 | llama-3.3 | Q1_OG_5 | 'choices'
2026-05-26T08:34:41.197105 | llama-3.3 | Q1_A_1 | 'choices'
2026-05-26T08:34:41.197726 | llama-3.3 | Q1_A_2 | 'choices'
2026-05-26T08:34:41.198757 | llama-3.3 | Q1_A_3 | 'choices'
2026-05-26T08:34:41.199994 | llama-3.3 | Q1_A_4 | 'choices'
2026-05-26T08:34:41.201062 | llama-3.3 | Q1_A_5 | 'choices'
2026-05-26T08:34:41.203806 | llama-3.3 | Q1_B_1 | 'choices'
2026-05-26T08:34:41.204716 | llama-3.3 | Q1_B_2 | 'choices'
2026-05-26T08:34:41.205556 | llama-3.3 | Q1_B_3 | 'choices'
2026-05-26T08:34:41.206366 | llama-3.3 | Q1_B_4 | 'choices'
2026-05-26T08:34:41.207119 | llama-3.3 | Q1_B_5 | 'choices'
